layer,count
24,103
7,83
12,67
6,67
9,63
25,57
26,55
10,49
30,46
13,45
8,32
11,30
28,30
5,28
4,27
16,25
17,23
3,23
21,21
2,18
15,15
19,14
27,13
22,13
18,12
29,8
14,8
23,7
1,7
31,6
20,5
