layer,count
24,93
9,87
7,76
12,73
10,62
11,60
6,55
3,52
30,50
2,41
4,35
25,32
16,32
8,31
26,26
17,25
5,25
13,20
28,15
14,14
18,12
22,11
1,11
29,11
19,9
21,9
27,8
20,8
15,7
23,6
31,4
