layer,count
12,125
9,99
24,92
11,74
30,64
31,56
7,43
26,40
10,33
4,32
25,29
15,24
3,24
5,23
28,22
16,21
2,21
13,21
6,20
8,18
21,17
17,16
29,15
14,15
18,12
19,10
23,9
20,9
1,6
22,6
27,4
