layer,count
12,141
7,121
24,69
11,69
9,62
10,50
8,40
3,38
30,35
6,33
17,31
5,29
25,27
26,26
16,26
28,26
2,22
4,22
13,17
21,16
18,14
1,14
20,12
29,9
23,9
15,8
22,8
31,7
19,7
14,6
27,6
